Id,STseg,TTseg,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,HTra,HSeg,Hcross,SynSimS,SynSimT,SynSim
15,15,30,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,2,303313,303313,78496,220741,4076,18,219208,5609,14,217395,7422,11,211283,13534,6,206284,18533,4,7,0,0,0,0,0,0,0,0,53,45,53,45,0,0,0,0,28,141,29,44,0,---,然后_警察_把_你_从_墓_地带_了_回来_，_你_用_那种_满不在乎_的_空洞_眼神_望_着_我们_，_我_不再_给_自己_找_借口_了_。,1.23,0.63,0,3.04,2.52,2.78
16,16,31,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,1,199222,199222,157591,40320,1311,3,40320,1311,3,39747,1884,2,39747,1884,2,37302,4329,1,1,0,0,0,0,0,0,0,0,9,12,9,12,0,0,0,0,9,35,8,13,0,---,这_不仅仅_是_你_叔叔_的_坟墓_。,1.29,0.7,0,1.44,1.75,1.6
17,17,32,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,1,232038,232038,2524,217124,12390,41,214502,15012,34,205168,24346,21,196081,33433,14,175342,54172,8,7,0,0,0,0,0,0,0,0,122,111,122,111,0,0,0,0,17,77,22,37,0,---,还有_600_万人_埋_在_那里_，_而_你_在_上面_吐口_水_，_你_明明_知道_这些_，_却_无动于衷_。,2.1,1.04,0,4.76,4.18,4.47
1,1,1,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,1,50785724,73982,50711742,72886,1096,5,72403,1579,4,70759,3223,2,69426,4556,1,69426,4556,1,0,0,0,0,0,0,0,0,0,15,13,15,13,0,0,0,0,1,5,2,4,0,---,零号_军团,2.55,1.49,0,2,1,1.5
2,2,2,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,2,844700,16856,829562,12456,2682,12,10952,4186,8,9250,5888,5,5430,9708,2,0,15138,0,2,0,0,0,0,0,0,0,0,26,30,26,30,0,0,0,0,5,27,5,10,0,---,阿桑特_大叫_着_冲出_。,1.91,1.09,0,2.6,2.4,2.5
3,3,3,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,3,265156,265156,29515,225501,10140,24,222772,12869,17,217780,17861,11,213980,21661,8,201701,33940,4,10,0,0,0,0,0,0,0,0,111,105,111,105,0,0,0,0,15,73,18,28,0,---,回音_室_简直_是_个_地狱_，_充斥_着_喊叫_、_海水_、_金属_的_哐啷_作响_。,1.51,1,0,2.73,2,2.37
4,4,4,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,4,194703,194703,58709,129130,6864,26,125048,10946,16,123026,12968,13,117934,18060,9,105531,30463,5,9,0,0,0,0,0,0,0,0,82,88,82,88,0,0,0,0,16,91,16,27,0,---,巨大_的_阴影_沿着_舱壁_移动_，_绿色_的_光网_在_每个_表面_上_翻滚_。,2.08,1.3,0,2.44,2.44,2.44
5,5,5,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,4,575153,575153,24590,529021,21542,70,521567,28996,51,506683,43880,28,493764,56799,20,464858,85705,12,18,0,0,0,0,0,0,0,0,234,229,234,229,0,0,0,0,35,180,44,68,0,---,沙_莱特_们_从_月池_中_升起_，_活像_某种_生物_从_明亮_的_泻湖_中_冒出来_，_她们_一边_冒_起_一边_开火_。_在_黑沉沉_的_水雾_中_，_拉希_达_的_腰部_炸开_了_，_上半身_掉_在_甲板_上_。,1.99,1.22,0,3.8,2.48,3.14
6,6,6,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,6,1796899,477760,1390333,361779,44787,153,341455,65111,102,300580,105986,42,275341,131225,23,247580,158986,13,21,0,0,0,0,0,0,0,0,560,488,560,488,0,0,0,0,55,325,61,101,0,---,基托_还_在_吃力_地_爬_向_晾晒_架上_的_矛枪_—_—_就_好像_那些_年代久远_的_捕鱼_玩意儿_能_击退_这些_怪物_似的_。_她们_带_着_枪_、_气动_装置_和_弹药筒_，_你_还_没_弄清_突如其来_的_五百个_大气压_会_把_你_的_内脏_变成_什么样_，_就_已经_被_炸成_了_一堆_残肢_碎肉_。,2.58,1.5,0,6.6,4.1,5.35
7,7,7,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,5,80473,80473,44707,31666,4100,13,29915,5851,8,26811,8955,4,24386,11380,2,24386,11380,2,4,0,0,0,0,0,0,0,0,50,118,50,118,0,0,0,0,8,29,4,9,0,---,阿桑特_没有_那些_。,2.84,1.49,0,1.62,5,3.31
8,8,8,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,1,15053,15053,12109,2439,505,2,2439,505,2,1842,1102,1,0,2944,0,0,2944,0,2,0,0,0,0,0,0,0,0,5,6,5,6,0,0,0,0,8,27,6,9,0,---,他_只有_他_的_拳头_。,2.58,1.55,0,1.75,2.83,2.29
9,9,9,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,1,38632,38632,6375,29848,2409,9,28388,3869,5,25923,6334,1,25923,6334,1,25923,6334,1,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,4,14,5,7,0,---,他_就_用_拳头_。,2,1.48,0,1.5,1,1.25
10,10,10,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,4,1076779,240599,837779,218161,20839,73,208181,30819,48,196230,42770,32,175253,63747,18,151588,87412,10,14,0,0,0,0,0,0,0,0,251,270,251,270,0,0,0,0,27,140,31,48,0,---,在_离_他_最近_的_一个_沙_莱特_瞄准_基托_时_，_他_扑_了_过去_，_拼命_纵身_一跃_，_甲板_吱呀_作响_往下_一沉_，_向_一边_倾侧_。,2.76,1.7,0,4.7,3.26,3.98
11,11,11,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,2,139578,139578,110090,24682,4806,22,19913,9575,10,14859,14629,3,14859,14629,3,7888,21600,1,2,0,0,0,0,0,0,0,0,71,72,71,72,0,0,0,0,14,73,14,23,0,---,海水_扑打_着_月池_的_边缘_，_瀑布_般_在_金属板_上_横流_。,2.12,1.38,0,2.36,2.21,2.29
12,12,12,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,2,145788,145788,68686,71002,6100,28,67018,10084,18,59755,17347,7,54165,22937,3,50895,26207,2,1,0,0,0,0,0,0,0,0,81,83,81,83,0,0,0,0,10,47,8,17,0,---,阿桑特_落到_入侵者_身上_，_一通_乱拳_。,2.32,1.54,0,4,6.38,5.19
13,13,13,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,2,68846,68846,65730,1261,1855,3,550,2566,1,0,3116,0,0,3116,0,0,3116,0,1,0,0,0,0,0,0,0,0,18,19,18,19,0,0,0,0,5,20,5,6,0,---,她_射_偏_了_。,2.15,1.32,0,1.6,1.6,1.6
14,14,14,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,2,181560,181560,15598,151337,14625,37,146786,19176,26,139319,26643,16,128304,37658,9,122014,43948,7,1,0,0,0,0,0,0,0,0,175,196,175,196,0,0,0,0,29,142,25,41,0,---,一张_蛛网_绽开_在_视窗_上_，_玻璃_努力_地_从_边缘_开始_自我_修复_，_但_还是_从_中心_喷出_了_一小_股水_。,2.58,1.44,0,3.79,4,3.9
15,15,15,sentence,CREATIVE2,P04_P2,en,zh,P,2,P04,3,76272,76272,48,67517,8707,40,63196,13028,29,53473,22751,13,47047,29177,9,31556,44668,4,9,0,0,0,0,0,0,0,0,157,145,157,145,0,0,0,0,21,107,22,37,0,---,在_被_沙_莱特_炸飞_之前_，_阿桑特_看到_的_最后_一样_东西_是_她_水母_衣上_的_沙漠_之锤_标志_。,2.16,1.42,0,5.86,5.77,5.81
1,1,38,paragraph,CREATIVE2,P04_P5,en,zh,P,5,P04,1,12417,12417,1,11493,923,4,11127,1289,3,10437,1979,2,10437,1979,2,10437,1979,2,1,0,0,0,0,0,0,0,0,22,17,22,17,0,0,0,0,3,18,2,4,0,---,昨日_重现,1.96,0,0,1.33,2.5,1.92
2,2,39,paragraph,CREATIVE2,P04_P5,en,zh,P,5,P04,3,23805818,71450,23796516,6767,2535,7,5574,3728,4,4998,4304,3,2385,6917,1,0,9302,0,1,0,0,0,0,0,0,0,0,25,28,25,28,0,0,0,0,6,28,4,8,0,---,一节_家族史_课_。,2.18,0.51,0,1.67,3.5,2.58
3,3,40,paragraph,CREATIVE2,P04_P5,en,zh,P,5,P04,2,81099,81099,41408,36291,3400,11,35909,3782,10,31811,7880,5,28145,11546,2,24032,15659,1,2,0,0,0,0,0,0,0,0,55,58,55,58,0,0,0,0,11,53,12,18,0,---,你_对_你_叔叔_的_坟墓_干下_的_事_不可_饶恕_。,0.87,0.48,0,4,3.08,3.54
4,4,41,paragraph,CREATIVE2,P04_P5,en,zh,P,5,P04,4,3445030,916974,22068,3379915,43047,170,3364324,58638,130,3332184,90778,81,3287963,134999,51,3222262,200700,29,36,0,0,0,0,0,0,0,0,587,603,587,603,0,0,0,0,131,629,125,199,0,---,和_往常_一样_，_你_母亲_又_在_自责_。_她_说_你_不_知道_自己_在_做_什么_。_我_可以_接受_你_用_我_给_你_的_羊角_号_换_了_那套_Emotiv_头戴_视图_器_，_甚至_接受_你_跟_那些_剃着_光头_、_满口脏话_的_社会青年_厮混_，_但_我_永远_不会_原谅_你_游戏_仓上_的_万_字符_。_不过_你_是_我_女儿_的_儿子_，_不是_我_的_。_也许_这_只是_青春期_的_叛逆_。_毕竟_，_你何_从_知道_呢_？_2017_年_的_今天_，_有_哪个_小孩_真正_知道_？_历史_书_和_低_像素_的_老照片_何曾_能_传达_那场_大屠杀_的_可怖_。_你_不_在场_，_你_永远_无法_理解_。,1.56,0.77,0,4.03,4.34,4.18
5,5,42,paragraph,CREATIVE2,P04_P5,en,zh,P,5,P04,2,1421113,1210297,225036,1141577,54500,169,1120421,75656,116,1083731,112346,63,1052670,143407,40,1024769,171308,31,37,0,0,0,0,0,0,0,0,791,787,791,787,0,0,0,0,107,502,109,172,0,---,我们_告诉_自己_你_其实_是_个_心地善良_的_孩子_，_是_那段_历史_对_你_来说_太过_久远_，_太过_抽象_，_太_不_真实_。_作为_医生_，_我们_太_熟悉_犹太人_典型_的_自我_厌憎_，_我们_说服_自己_把_你_当作_某种_受害者_来_对待_。_终于_某_天_警察_把_你_从_公墓_带_回来_，_你_双目_无神_地_看着_我们_，_一副_无所谓_的_样子_，_从此_我_不再_找_借口_了_。_那口_唾沫_不仅_是_吐_在_了_你_叔叔_的_坟_前_，_还_吐_在_了_另外_六百万_座_坟_前_，_你_一清二楚_，_却_毫不在乎_。,1.5,0.75,0,2.9,2.63,2.76
1,1,33,paragraph,CREATIVE2,P05_P2,en,zh,P,2,P05,1,35229,35229,33306,1923,0,3,1567,356,2,0,1923,0,0,1923,0,0,1923,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,1,5,2,2,0,---,零_S,2.55,1.49,0,2,1,1.5
2,2,34,paragraph,CREATIVE2,P05_P2,en,zh,P,2,P05,2,1011016,775666,16242,937033,57741,171,915876,78898,118,883751,111023,73,834024,160750,37,782479,212295,20,24,0,0,0,0,0,0,0,0,611,638,611,638,0,0,0,0,126,696,132,221,0,---,阿桑特_大喊大叫_。_地狱_是_一个_回声_室_，_到处_都_是_呼号_和_海水_，_还有_叮当作响_的_金属_。_可怕_的_阴影_沿着_舱壁_移动_；_绿色_的_光网_在_每个_表面_上_闪烁_。_那些_萨_希利_提从_月亮_池中_升起_，_就_像_一些_来自_明亮_泻湖_的_生物_，_一边_上升_一边_开火_；_拉希_达_身体_的_中段_在_暗雾_中_爆炸_，_她_的_上半身_倒_在_甲板_上_。_基托_仍然_挣扎_着_走向_滴水_架上_的_矛枪_—_—_好像_凭着_几支_古董_鱼叉_就_可以_挡住_这些_带_着_枪_的_怪物_，_挡住_他们_的_气动_装置_，_挡住_他们_的_子弹_—_—_这些_子弹_会_进入_你_的_肉体_深处_，_然后_在_你_体内_释放_五百个_大气压_。,2.2,1.32,0,3.17,3.1,3.14
3,3,35,paragraph,CREATIVE2,P05_P2,en,zh,P,2,P05,2,147804,147804,126418,14418,6968,16,11412,9974,9,7242,14144,3,5896,15490,2,0,21386,0,5,0,0,0,0,0,0,0,0,75,67,75,67,0,0,0,0,16,56,12,20,0,---,阿桑特_连_这些_都_没有_。_他_只有_自己_的_拳头_。,2.71,1.52,0,3.31,5.17,4.24
4,4,36,paragraph,CREATIVE2,P05_P2,en,zh,P,2,P05,3,529162,529162,48652,423841,56669,145,412262,68248,115,377351,103159,65,339640,140870,37,277757,202753,16,22,0,0,0,0,0,0,0,0,711,727,711,727,0,0,0,0,89,436,92,156,0,---,他_使用_自己_的_拳头_。_他_冲向_距离_最近_的_一个_萨_希利_提_，_那时_她_正在_瞄准_基托_，_甲板_吱吱嘎嘎_，_上下左右_摇摆_，_她_也_跟着_剧烈_晃动_。_海水_已经_漫过_了_月亮_池_的_边缘_，_从_平台_上_瀑布_一样_流下来_。_阿桑特_冲下去_的_时候_撞_到_了_那个_入侵者_。_她_的_子弹_射偏_了_。_一个_蜘蛛网_在_观察_口上_爆开_；_虽然_边缘_的_玻璃_还_在_勉力_支持_，_一道_细细的_水柱_仍然_从_蛛网_的_中心_喷出_。,2.48,1.52,0,4.07,3.75,3.91
5,5,37,paragraph,CREATIVE2,P05_P2,en,zh,P,2,P05,1,128760,128760,1,119363,9396,33,114264,14495,20,108178,20581,12,107054,21705,11,94029,34730,6,4,0,0,0,0,0,0,0,0,96,102,96,102,0,0,0,0,21,107,24,40,0,---,在_那个_萨_希利_提把_他_轰开_之前_，_阿桑特_看到_的_最后_一样_东西_是_她_潜水衣_上_的_沙漠_锤_图标_。,2.16,1.42,0,6.52,5.25,5.89
1,1,16,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,1,17382,17382,12405,3674,1303,5,3177,1800,4,0,4977,0,0,4977,0,0,4977,0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,0,0,0,3,18,2,4,0,---,重复_过去,1.96,0,0,1,1.5,1.25
2,2,17,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,1,2753,2753,1,2561,191,2,2561,191,2,2044,708,1,2044,708,1,0,2752,0,1,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,6,28,3,8,0,---,一节_家庭_历史课,2.18,0.51,0,1.83,4,2.92
3,3,18,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,3,56647,56647,44525,10671,1451,5,10671,1451,5,8688,3434,2,8688,3434,2,0,12122,0,6,0,0,0,0,0,0,0,0,17,16,17,16,0,0,0,0,11,53,14,21,0,---,你_对_你_伯父_的_坟墓_所作_的_事情_是_不可_原谅_的_。,0.87,0.48,0,4.64,3.36,4
4,4,19,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,11280,11280,6534,2404,2342,2,2404,2342,2,1540,3206,1,0,4746,0,0,4746,0,3,0,0,0,0,0,0,0,0,23,17,23,17,0,0,0,0,8,39,10,16,0,---,你_的_母亲_责备_自己_，_她_一贯_如此_。,1.68,0.96,0,2,1.4,1.7
5,5,20,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,58391,58391,54180,2671,1540,3,2370,1841,2,1546,2665,1,0,4211,0,0,4211,0,2,0,0,0,0,0,0,0,0,18,16,18,16,0,0,0,0,12,47,11,15,0,---,她_说_，_你_不_知道_自己_在_做_什么_。,0.53,0.31,0,3.42,3.64,3.53
6,6,21,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,3,261034,261034,12826,231951,16257,56,226515,21693,41,211934,36274,19,207047,41161,15,183313,64895,7,17,0,0,0,0,0,0,0,0,245,253,245,253,0,0,0,0,36,184,36,57,0,---,当_你_用_我_给_你_的_羊角_号_换_了_那个_eMotiv_耳机_时_，_甚至_当_你_和_那些_剃着_光头_、_满嘴_脏话_的_混_小子_们_称兄道弟_，_我_可以_接受_。,1.75,0.86,0,7.47,6.03,6.75
7,7,22,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,110279,110279,504,90206,19569,29,86414,23361,20,79144,30631,10,74957,34818,7,64117,45658,4,18,0,0,0,0,0,0,0,0,182,178,182,178,0,0,0,0,22,99,28,42,0,---,如果_不是_因为_你_是_我_的_外孙_而_不是_我_的_儿子_，_我_是_绝不会_原谅_你_游戏_舱_上_的_那个_纳粹_符号_的_。,1.56,0.82,0,5.36,4,4.68
8,8,23,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,1,11830,11830,9051,1177,1602,3,0,2779,0,0,2779,0,0,2779,0,0,2779,0,3,0,0,0,0,0,0,0,0,14,12,14,12,0,0,0,0,7,40,8,14,0,---,也许_这_只是_青少年_的_叛逆_期_。,0.72,0.45,0,1.57,1.38,1.47
9,9,24,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,46073,46073,12780,30927,2366,11,30091,3202,9,27990,5303,6,24150,9143,3,21783,11510,2,5,0,0,0,0,0,0,0,0,32,26,32,26,0,0,0,0,8,31,8,13,0,---,毕竟_，_您_怎么_可能_知道_呢_？,1.8,0.71,0,3.38,2.88,3.12
10,10,25,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,29181,29181,132,22808,6241,11,22079,6970,9,17542,11507,3,16508,12541,2,12840,16209,1,6,0,0,0,0,0,0,0,0,59,51,59,51,0,0,0,0,11,47,14,28,0,---,此时此刻_在_2017_年_，_怎么_可能_有_哪个_孩子_真的_知道_呢_？,1.96,0.86,0,4.27,2.57,3.42
11,11,26,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,91912,91912,43016,39345,9551,21,38031,10865,18,32670,16226,10,25014,23882,4,22962,25934,3,10,0,0,0,0,0,0,0,0,135,127,135,127,0,0,0,0,17,94,20,38,0,---,种族灭绝_是_一件_极其可怕_的_事情_，_光靠_历史_书_和_颗粒感_十足_的_老照片_是_无法_传达_的_。,1.97,1.01,0,2.24,1.65,1.94
12,12,27,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,30766,30766,8257,19411,3098,1,19411,3098,1,19411,3098,1,19411,3098,1,19411,3098,1,3,0,0,0,0,0,0,0,0,24,23,24,23,0,0,0,0,10,48,10,16,0,---,你_没有_经历_过_；_你_永远_不会_理解_。,1.29,0.53,0,1.5,1.6,1.55
13,13,28,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,1,20318,20318,4754,14065,1499,4,13714,1850,3,13122,2442,2,13122,2442,2,13122,2442,2,4,0,0,0,0,0,0,0,0,17,17,17,17,0,0,0,0,23,105,27,40,0,---,我们_告诉_自己_，_你_内_心中_是_个_好_男孩_，_对_你_来说_，_这是_一段_古老_的_历史_，_抽象_而_不_真实_。,1.22,0.54,0,3.13,2.59,2.86
14,14,29,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,151740,151740,11236,125232,15272,42,122607,17897,35,109778,30726,17,101955,38549,11,85802,54702,5,11,0,0,0,0,0,0,0,0,186,181,186,181,0,0,0,0,30,144,29,52,0,---,我们_两位_都_是_医生_，_熟悉_自我_厌恶_的_犹太人_这种_令人_悲伤_的_刻板_偏见_，_我们_说服_自己_把_你_当作_某种_受害者_一样_治疗_。,1.69,0.9,0,4.03,3.79,3.91
15,15,30,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,80300,80300,22430,56588,1282,7,55861,2009,5,55316,2554,4,53769,4101,3,51106,6764,2,3,0,0,0,0,0,0,0,0,15,16,15,16,0,0,0,0,28,141,25,36,0,---,然后_警察_把_你_从_墓_地带_回来_，_你_用_沉闷_冷漠_的_目光_望_着_我们_，_我_不再_找_借口_了_。,1.23,0.63,0,3.04,3.36,3.2
16,16,31,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,3,18260,18260,44,16217,1999,8,15571,2645,6,12131,6085,2,10833,7383,1,10833,7383,1,4,0,0,0,0,0,0,0,0,24,21,24,21,0,0,0,0,9,35,8,14,0,---,那里_不仅仅_有_你_伯父_的_坟墓_。,1.29,0.7,0,1.44,1.75,1.6
17,17,32,sentence,CREATIVE2,P05_P5,en,zh,P,5,P05,2,8311,8311,4571,3077,663,2,3077,663,2,2570,1170,1,2570,1170,1,0,3740,0,4,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,17,77,16,28,0,---,你_唾弃_了_其他_600_万人_，_你_知道_，_这_并_不_意味着_什么_。,2.1,1.04,0,2.24,2.31,2.27
1,1,1,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,零,2.55,1.49,0,1,1,1
2,2,2,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,2,757140,25333,742759,12053,2328,12,10122,4259,7,6556,7825,3,3739,10642,1,0,14381,0,2,0,0,0,0,0,0,0,0,34,30,34,30,0,0,0,0,5,27,7,12,0,---,阿桑特_尖叫_着_冲_了_出去_。,1.91,1.09,0,3.2,2,2.6
3,3,3,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,4,176714,176714,83296,86262,7156,26,83504,9914,18,75134,18284,6,75134,18284,6,64150,29268,3,12,0,0,0,0,0,0,0,0,85,78,85,78,0,0,0,0,15,73,22,36,0,---,地狱_是_一个_回声_室_，_到处_都_是_四处_传来_的_呼叫_和_海水_，_还有_叮叮当当_的_金属_声_。,1.51,1,0,2.2,1.32,1.76
4,4,4,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,4,185641,185641,28956,150874,5811,31,147962,8723,24,139047,17638,12,132595,24090,7,117803,38882,3,10,0,0,0,0,0,0,0,0,68,71,68,71,0,0,0,0,16,91,18,30,0,---,野兽_模样_的_阴影_沿着_舱壁_在_移动_；_网格_状_的_绿光_在_每个_表面_闪烁_。,2.08,1.3,0,2.56,2.17,2.36
5,5,5,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,6,534974,534974,259348,266570,9056,51,262639,12987,41,250184,25442,23,240573,35053,15,226186,49440,10,21,0,0,0,0,0,0,0,0,124,111,124,111,0,0,0,0,35,180,52,76,0,---,一群_萨_利特_人_从_月亮_池中_升起_，_就_像_一些_来自_明亮_的_泻湖_中_的_生物_一样_，_他们_一_露出_水面_就_在_燃烧_；_拉希_达_的_中段_在_黑暗_的_雾_霾_中_爆炸_，_她_的_上半身_折断_了_，_落_在_甲板_上_。,1.99,1.22,0,4,2.4,3.2
6,6,6,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,4,983467,781888,158244,796525,28698,144,781067,44156,104,749659,75564,57,718034,107189,33,682120,143103,20,33,0,0,0,0,0,0,0,0,301,300,301,300,0,0,0,0,55,325,67,104,0,---,基托_仍_在_拖_着_沉重_的_身体_向_干_衣架_上_的_鱼枪_移动_，_好像_某个_古董_鱼_贴纸_就_有_能力_用_自己_的_枪_和_气动_装置_以及_小_弹壳_抵御_这些_怪兽_一般_，_这些_东东_将_其_隐藏_在_你_的_身体_深处_，_然后_突然_发力_，_将_500_种_脱缰_的_魔力_在_你_的_内脏_里_翻山倒海_。,2.58,1.5,0,3.84,3.02,3.43
7,7,7,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,4,274882,274882,192002,75677,7203,34,71374,11506,23,63506,19374,11,58502,24378,7,47241,35639,4,7,0,0,0,0,0,0,0,0,69,74,69,74,0,0,0,0,8,29,8,14,0,---,这_多于_阿桑特_所_拥有_的_一切_。,2.84,1.49,0,1.5,1.5,1.5
8,8,8,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,5,33887,33887,20992,9365,3530,12,7096,5799,6,4495,8400,3,0,12895,0,0,12895,0,5,0,0,0,0,0,0,0,0,45,34,45,34,0,0,0,0,8,27,6,13,0,---,阿桑特_已经_是_赤手空拳_了_。,2.58,1.55,0,3.12,4.83,3.98
9,9,9,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,7,948383,546175,139907,789466,19010,101,779014,29462,74,755791,52685,42,739510,68966,29,716013,92463,21,12,0,0,0,0,0,0,0,0,218,276,218,276,0,0,0,0,4,14,9,14,0,---,他_要_把_自己_的_拳头_利用_起来_。,2,1.48,0,4.25,1.11,2.68
10,10,10,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,7,144966,144966,70375,67753,6838,32,62186,12405,17,57591,17000,11,48185,26406,4,48185,26406,4,15,0,0,0,0,0,0,0,0,136,76,136,76,0,0,0,0,27,140,41,61,0,---,他_对_着_离_他_最近_的_萨_利特_人_发起_攻击_，_此时_，_她_在_视线_中_捕捉到_了_基托_，_随着_甲板_在_呻吟_、_下沉_并_向_两边_摇摆_的_同时_他_也_在_剧烈地_摇摆_。,2.76,1.7,0,6.15,2.9,4.53
11,11,11,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,2,303904,303904,38042,259405,6457,31,256650,9212,24,250156,15706,14,239626,26236,6,237156,28706,5,5,0,0,0,0,0,0,0,0,57,60,57,60,0,0,0,0,14,73,14,22,0,---,海水_冲_过_月亮_池_的_边缘_，_在_整个_金属板_上_流淌_。,2.12,1.38,0,3.21,2.79,3
12,12,12,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,5,178939,178939,133987,40252,4700,22,38483,6469,17,34306,10646,10,25486,19466,4,21393,23559,2,8,0,0,0,0,0,0,0,0,48,55,48,55,0,0,0,0,10,47,10,18,0,---,阿桑特_在_他_下滑_的_路上_朝_入侵者_猛击_。,2.32,1.54,0,3.1,3,3.05
13,13,13,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,4,149904,149904,138972,8735,2197,6,8735,2197,6,5174,5758,1,5174,5758,1,5174,5758,1,4,0,0,0,0,0,0,0,0,31,29,31,29,0,0,0,0,5,20,5,9,0,---,她_没有_命中_目标_。,2.15,1.32,0,2.6,2.6,2.6
14,14,14,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,5,433940,433940,176985,243132,13823,73,233156,23799,47,217735,39220,26,207136,49819,18,186376,70579,11,24,0,0,0,0,0,0,0,0,177,158,177,158,0,0,0,0,29,142,34,54,0,---,在_视口_上_有_一个_像_花绽放_一样_的_蜘蛛网_；_即使_在_玻璃_试图_从_其_边缘_将_自己_愈合_的_同时_，_有_一股_细小_的_水流_从_其_中心_喷出_。,2.58,1.44,0,5.28,3.76,4.52
15,15,15,sentence,CREATIVE2,P06_P2,en,zh,P,2,P06,5,307481,307481,105829,191818,9834,42,187183,14469,30,179850,21802,19,166485,35167,11,157472,44180,8,20,0,0,0,0,0,0,0,0,106,113,106,113,0,0,0,0,21,107,26,39,0,---,阿桑特_最后_看到_的_是_萨_利特_人_的_潜水服_上_的_沙漠_锤_图标_，_不过_她_一口气_便_将_将_吹_走_了_。,2.16,1.42,0,4.14,3.54,3.84
1,1,33,paragraph,CREATIVE2,P09_P2,en,zh,P,2,P09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,零,2.55,1.49,0,1,1,1
